iter	Passed	Remaining
0	43	26346
1	81	24897
2	121	24629
3	161	24552
4	199	24236
5	237	23937
6	276	23888
7	316	23875
8	355	23770
9	394	23698
10	432	23570
11	469	23429
12	509	23435
13	549	23433
14	586	23318
15	625	23253
16	664	23201
17	701	23124
18	740	23087
19	780	23051
20	818	22988
21	855	22907
22	893	22854
23	931	22785
24	973	22810
25	1013	22799
26	1052	22774
27	1091	22717
28	1128	22647
29	1166	22593
30	1206	22577
31	1246	22557
32	1285	22507
33	1322	22451
34	1361	22410
35	1400	22368
36	1440	22342
37	1480	22323
38	1518	22266
39	1555	22211
40	1594	22170
41	1632	22112
42	1674	22119
43	1715	22105
44	1754	22065
45	1791	22010
46	1830	21966
47	1869	21922
48	1909	21901
49	1949	21871
50	1988	21830
51	2028	21807
52	2067	21763
53	2106	21724
54	2146	21698
55	2185	21658
56	2223	21607
57	2261	21558
58	2298	21503
59	2338	21477
60	2378	21448
61	2416	21401
62	2455	21357
63	2492	21306
64	2532	21269
65	2571	21232
66	2610	21195
67	2648	21145
68	2685	21096
69	2723	21047
70	2760	20997
71	2802	20976
72	2841	20939
73	2879	20892
74	2917	20851
75	2956	20808
76	2994	20765
77	3035	20742
78	3075	20713
79	3114	20673
80	3153	20631
81	3190	20584
82	3228	20537
83	3268	20502
84	3307	20469
85	3345	20424
86	3383	20379
87	3421	20336
88	3460	20296
89	3500	20264
90	3539	20226
91	3577	20182
92	3616	20141
93	3653	20094
94	3691	20050
95	3731	20017
96	3771	19984
97	3810	19944
98	3848	19902
99	3886	19858
100	3923	19812
101	3963	19776
102	4003	19743
103	4042	19707
104	4080	19663
105	4118	19621
106	4157	19584
107	4198	19553
108	4237	19516
109	4275	19474
110	4313	19431
111	4352	19393
112	4391	19351
113	4431	19319
114	4470	19281
115	4509	19241
116	4548	19203
117	4587	19166
118	4625	19123
119	4665	19089
120	4706	19057
121	4745	19020
122	4784	18981
123	4822	18940
124	4860	18896
125	4901	18866
126	4940	18828
127	4978	18785
128	5016	18745
129	5056	18709
130	5094	18666
131	5133	18628
132	5173	18594
133	5210	18548
134	5248	18506
135	5287	18467
136	5325	18424
137	5364	18386
138	5405	18355
139	5445	18318
140	5482	18274
141	5521	18235
142	5559	18193
143	5599	18157
144	5639	18122
145	5679	18088
146	5717	18046
147	5755	18003
148	5793	17963
149	5833	17927
150	5872	17890
151	5911	17850
152	5948	17807
153	5984	17760
154	6023	17719
155	6063	17684
156	6103	17650
157	6142	17609
158	6179	17567
159	6217	17526
160	6255	17484
161	6294	17445
162	6333	17408
163	6373	17371
164	6411	17331
165	6450	17291
166	6489	17252
167	6528	17215
168	6567	17177
169	6606	17138
170	6644	17097
171	6682	17056
172	6721	17017
173	6760	16979
174	6799	16941
175	6838	16900
176	6876	16862
177	6916	16824
178	6953	16782
179	6994	16748
180	7034	16711
181	7073	16672
182	7111	16631
183	7149	16592
184	7187	16551
185	7227	16514
186	7266	16476
187	7305	16436
188	7343	16397
189	7381	16355
190	7419	16315
191	7459	16279
192	7499	16241
193	7537	16200
194	7575	16160
195	7612	16119
196	7651	16079
197	7690	16041
198	7729	16002
199	7767	15961
200	7805	15921
201	7843	15880
202	7882	15842
203	7923	15807
204	7962	15768
205	8000	15728
206	8038	15689
207	8078	15651
208	8116	15612
209	8156	15575
210	8195	15536
211	8232	15495
212	8272	15457
213	8310	15417
214	8347	15375
215	8387	15337
216	8427	15302
217	8466	15262
218	8503	15221
219	8541	15181
220	8580	15141
221	8620	15105
222	8659	15067
223	8698	15027
224	8735	14986
225	8774	14946
226	8812	14906
227	8851	14868
228	8891	14832
229	8930	14794
230	8969	14755
231	9007	14714
232	9047	14677
233	9087	14640
234	9127	14603
235	9166	14564
236	9204	14525
237	9242	14484
238	9279	14443
239	9319	14406
240	9359	14368
241	9398	14330
242	9435	14289
243	9472	14247
244	9510	14206
245	9550	14170
246	9589	14132
247	9627	14092
248	9666	14053
249	9704	14013
250	9742	13973
251	9781	13934
252	9820	13896
253	9858	13856
254	9896	13816
255	9934	13775
256	9970	13734
257	10011	13697
258	10052	13661
259	10090	13622
260	10128	13582
261	10166	13541
262	10201	13499
263	10242	13462
264	10280	13423
265	10318	13383
266	10356	13342
267	10395	13304
268	10432	13264
269	10472	13226
270	10511	13188
271	10550	13149
272	10588	13109
273	10627	13070
274	10664	13030
275	10704	12992
276	10742	12952
277	10779	12912
278	10818	12873
279	10856	12833
280	10893	12793
281	10934	12756
282	10972	12717
283	11010	12677
284	11049	12638
285	11088	12600
286	11125	12559
287	11165	12522
288	11204	12484
289	11244	12446
290	11281	12405
291	11319	12365
292	11357	12326
293	11396	12287
294	11434	12248
295	11471	12208
296	11509	12168
297	11547	12129
298	11586	12090
299	11626	12052
300	11665	12014
301	11703	11975
302	11740	11934
303	11778	11894
304	11815	11854
305	11854	11815
306	11893	11776
307	11931	11737
308	11967	11696
309	12006	11657
310	12044	11618
311	12086	11582
312	12126	11545
313	12164	11505
314	12200	11464
315	12238	11425
316	12277	11386
317	12316	11347
318	12356	11310
319	12395	11272
320	12434	11233
321	12472	11193
322	12509	11154
323	12550	11117
324	12589	11078
325	12626	11038
326	12663	10998
327	12701	10958
328	12739	10919
329	12778	10881
330	12818	10843
331	12856	10803
332	12893	10763
333	12930	10724
334	12969	10685
335	13009	10647
336	13049	10609
337	13088	10571
338	13126	10532
339	13164	10493
340	13202	10453
341	13241	10415
342	13281	10377
343	13320	10338
344	13356	10298
345	13394	10259
346	13432	10219
347	13473	10182
348	13513	10145
349	13552	10106
350	13590	10066
351	13626	10026
352	13666	9988
353	13707	9951
354	13747	9913
355	13785	9874
356	13823	9835
357	13862	9796
358	13899	9757
359	13939	9718
360	13978	9680
361	14016	9641
362	14054	9602
363	14092	9562
364	14130	9523
365	14170	9485
366	14209	9447
367	14247	9408
368	14286	9369
369	14323	9329
370	14360	9289
371	14400	9251
372	14439	9213
373	14477	9174
374	14517	9136
375	14555	9097
376	14592	9057
377	14632	9019
378	14671	8981
379	14710	8942
380	14748	8903
381	14785	8863
382	14824	8824
383	14864	8787
384	14903	8748
385	14941	8709
386	14979	8670
387	15017	8631
388	15054	8591
389	15097	8555
390	15136	8516
391	15173	8477
392	15212	8438
393	15251	8399
394	15289	8360
395	15327	8321
396	15366	8283
397	15404	8244
398	15441	8204
399	15480	8165
400	15517	8126
401	15557	8088
402	15597	8050
403	15636	8011
404	15674	7972
405	15711	7933
406	15748	7893
407	15788	7855
408	15828	7817
409	15865	7778
410	15903	7738
411	15940	7699
412	15978	7660
413	16017	7622
414	16057	7583
415	16096	7545
416	16133	7505
417	16171	7466
418	16207	7426
419	16245	7387
420	16284	7349
421	16323	7310
422	16360	7271
423	16398	7232
424	16436	7193
425	16476	7155
426	16518	7117
427	16555	7078
428	16592	7039
429	16628	6999
430	16665	6960
431	16705	6921
432	16744	6883
433	16783	6844
434	16820	6805
435	16856	6765
436	16893	6726
437	16933	6688
438	16973	6650
439	17011	6611
440	17050	6572
441	17089	6534
442	17127	6495
443	17167	6457
444	17206	6418
445	17243	6379
446	17281	6340
447	17318	6301
448	17356	6262
449	17395	6223
450	17434	6185
451	17473	6146
452	17511	6107
453	17549	6068
454	17587	6029
455	17626	5991
456	17664	5952
457	17702	5913
458	17740	5874
459	17778	5835
460	17815	5796
461	17855	5758
462	17895	5720
463	17934	5681
464	17971	5642
465	18009	5603
466	18046	5564
467	18085	5526
468	18125	5487
469	18163	5449
470	18201	5410
471	18238	5371
472	18276	5332
473	18315	5293
474	18353	5254
475	18390	5215
476	18428	5176
477	18465	5137
478	18502	5098
479	18541	5060
480	18580	5021
481	18620	4983
482	18657	4944
483	18694	4905
484	18731	4866
485	18771	4828
486	18810	4789
487	18850	4751
488	18888	4712
489	18925	4673
490	18962	4634
491	19002	4596
492	19042	4557
493	19080	4519
494	19120	4480
495	19158	4442
496	19196	4403
497	19236	4364
498	19277	4326
499	19316	4288
500	19354	4249
501	19392	4210
502	19430	4171
503	19471	4133
504	19510	4095
505	19548	4056
506	19587	4017
507	19624	3978
508	19662	3940
509	19700	3901
510	19739	3862
511	19778	3824
512	19816	3785
513	19855	3747
514	19893	3708
515	19932	3669
516	19972	3631
517	20010	3592
518	20047	3553
519	20086	3515
520	20126	3476
521	20165	3438
522	20204	3399
523	20241	3360
524	20279	3321
525	20317	3283
526	20354	3244
527	20394	3205
528	20434	3167
529	20471	3128
530	20508	3089
531	20546	3051
532	20584	3012
533	20623	2973
534	20664	2935
535	20702	2896
536	20739	2857
537	20777	2819
538	20814	2780
539	20853	2741
540	20893	2703
541	20932	2664
542	20969	2626
543	21007	2587
544	21044	2548
545	21083	2509
546	21123	2471
547	21161	2432
548	21199	2394
549	21236	2355
550	21274	2316
551	21314	2278
552	21353	2239
553	21392	2200
554	21428	2162
555	21466	2123
556	21504	2084
557	21544	2046
558	21584	2007
559	21622	1969
560	21660	1930
561	21698	1891
562	21736	1853
563	21776	1814
564	21814	1776
565	21851	1737
566	21889	1698
567	21927	1659
568	21964	1621
569	22004	1582
570	22043	1544
571	22081	1505
572	22120	1466
573	22158	1428
574	22196	1389
575	22236	1351
576	22276	1312
577	22314	1274
578	22351	1235
579	22390	1196
580	22427	1158
581	22467	1119
582	22508	1081
583	22545	1042
584	22584	1003
585	22622	965
586	22659	926
587	22699	887
588	22738	849
589	22776	810
590	22814	772
591	22852	733
592	22889	694
593	22929	656
594	22968	617
595	23006	579
596	23044	540
597	23082	501
598	23121	463
599	23160	424
600	23200	386
601	23237	347
602	23275	308
603	23313	270
604	23350	231
605	23389	192
606	23429	154
607	23467	115
608	23505	77
609	23542	38
610	23580	0
