iter	Passed	Remaining
0	103	310569
1	207	311432
2	312	312612
3	421	315363
4	525	314931
5	632	315385
6	736	314748
7	841	314643
8	944	314041
9	1049	313848
10	1154	313580
11	1259	313724
12	1368	314399
13	1474	314422
14	1576	313757
15	1682	313737
16	1789	313930
17	1895	313997
18	1999	313681
19	2106	313817
20	2209	313486
21	2315	313388
22	2418	313094
23	2523	312914
24	2627	312721
25	2733	312719
26	2837	312468
27	2941	312221
28	3047	312178
29	3153	312178
30	3259	312221
31	3364	312048
32	3470	312068
33	3576	311966
34	3682	311922
35	3785	311687
36	3891	311623
37	3996	311510
38	4101	311407
39	4205	311202
40	4308	310961
41	4411	310696
42	4516	310615
43	4620	310435
44	4727	310452
45	4832	310301
46	4937	310245
47	5042	310121
48	5147	310004
49	5251	309862
50	5356	309756
51	5460	309570
52	5565	309478
53	5669	309319
54	5774	309207
55	5878	309061
56	5984	308995
57	6087	308796
58	6192	308695
59	6296	308504
60	6400	308386
61	6505	308295
62	6610	308196
63	6712	307955
64	6818	307863
65	6922	307749
66	7028	307666
67	7131	307513
68	7237	307422
69	7340	307272
70	7446	307207
71	7551	307091
72	7655	306950
73	7759	306824
74	7865	306741
75	7969	306616
76	8074	306513
77	8179	306405
78	8282	306252
79	8388	306181
80	8492	306053
81	8598	305994
82	8702	305848
83	8807	305760
84	8912	305653
85	9017	305548
86	9120	305363
87	9223	305225
88	9328	305127
89	9434	305045
90	9538	304929
91	9645	304868
92	9749	304753
93	9854	304641
94	9957	304504
95	10062	304396
96	10168	304310
97	10272	304188
98	10378	304134
99	10482	303993
100	10588	303920
101	10695	303889
102	10802	303822
103	10906	303705
104	11011	303599
105	11115	303483
106	11220	303381
107	11324	303248
108	11429	303139
109	11533	303020
110	11639	302930
111	11743	302808
112	11848	302708
113	11951	302562
114	12057	302494
115	12162	302389
116	12267	302284
117	12370	302143
118	12476	302064
119	12581	301955
120	12686	301855
121	12790	301734
122	12895	301633
123	12998	301490
124	13102	301366
125	13208	301270
126	13313	301187
127	13415	301019
128	13521	300931
129	13626	300839
130	13734	300804
131	13838	300669
132	13943	300560
133	14047	300453
134	14152	300347
135	14255	300206
136	14361	300115
137	14464	299976
138	14570	299903
139	14676	299816
140	14781	299725
141	14885	299600
142	14990	299501
143	15094	299381
144	15199	299270
145	15303	299148
146	15408	299041
147	15512	298933
148	15617	298828
149	15720	298698
150	15825	298596
151	15929	298464
152	16034	298373
153	16137	298222
154	16240	298096
155	16346	298014
156	16450	297888
157	16555	297786
158	16659	297663
159	16764	297569
160	16869	297465
161	16973	297354
162	17076	297223
163	17182	297135
164	17286	297007
165	17391	296914
166	17495	296798
167	17600	296692
168	17704	296573
169	17809	296467
170	17913	296352
171	18018	296259
172	18123	296159
173	18229	296066
174	18334	295963
175	18437	295833
176	18542	295732
177	18647	295643
178	18750	295511
179	18856	295420
180	18961	295315
181	19066	295220
182	19172	295129
183	19276	295017
184	19381	294918
185	19486	294812
186	19591	294710
187	19696	294607
188	19802	294517
189	19907	294414
190	20010	294290
191	20117	294212
192	20220	294091
193	20326	293998
194	20429	293869
195	20533	293755
196	20638	293655
197	20742	293540
198	20846	293415
199	20949	293292
200	21054	293191
201	21161	293117
202	21266	293009
203	21369	292890
204	21473	292779
205	21575	292634
206	21680	292530
207	21784	292417
208	21889	292308
209	21992	292185
210	22097	292085
211	22200	291956
212	22305	291852
213	22408	291732
214	22514	291642
215	22619	291539
216	22723	291431
217	22829	291342
218	22934	291232
219	23039	291136
220	23144	291037
221	23248	290926
222	23357	290864
223	23460	290744
224	23564	290629
225	23668	290514
226	23777	290463
227	23882	290359
228	23987	290260
229	24092	290163
230	24196	290044
231	24310	290046
232	24415	289947
233	24519	289835
234	24622	289708
235	24726	289597
236	24831	289495
237	24937	289398
238	25040	289279
239	25144	289165
240	25248	289052
241	25355	288964
242	25459	288860
243	25565	288767
244	25672	288689
245	25777	288578
246	25880	288457
247	25986	288366
248	26091	288259
249	26196	288161
250	26299	288042
251	26405	287941
252	26510	287843
253	26616	287751
254	26721	287645
255	26825	287538
256	26928	287414
257	27034	287319
258	27138	287211
259	27245	287125
260	27349	287014
261	27455	286919
262	27560	286813
263	27665	286712
264	27768	286590
265	27873	286485
266	27977	286379
267	28083	286280
268	28186	286162
269	28290	286048
270	28394	285936
271	28500	285839
272	28604	285729
273	28709	285629
274	28814	285520
275	28918	285414
276	29021	285286
277	29127	285201
278	29232	285096
279	29336	284981
280	29441	284876
281	29544	284755
282	29647	284641
283	29753	284545
284	29857	284434
285	29964	284344
286	30067	284230
287	30172	284123
288	30275	284006
289	30381	283909
290	30484	283789
291	30589	283688
292	30694	283587
293	30800	283491
294	30904	283381
295	31010	283287
296	31114	283171
297	31219	283069
298	31323	282959
299	31428	282859
300	31533	282751
301	31638	282650
302	31741	282534
303	31846	282430
304	31950	282320
305	32056	282219
306	32160	282109
307	32265	282012
308	32370	281908
309	32476	281812
310	32580	281703
311	32685	281600
312	32790	281498
313	32896	281401
314	33000	281292
315	33106	281193
316	33209	281079
317	33313	280965
318	33417	280851
319	33522	280746
320	33625	280631
321	33730	280525
322	33834	280419
323	33940	280324
324	34044	280210
325	34148	280100
326	34252	279989
327	34357	279889
328	34462	279786
329	34568	279690
330	34672	279580
331	34779	279490
332	34883	279378
