iter	Passed	Remaining
0	168	167995
1	182	90925
2	197	65745
3	212	52900
4	228	45450
5	243	40413
6	258	36679
7	272	33770
8	287	31608
9	304	30160
10	318	28630
11	331	27316
12	344	26175
13	357	25203
14	372	24434
15	385	23732
16	401	23197
17	414	22619
18	428	22124
19	442	21676
20	455	21244
21	468	20810
22	482	20507
23	497	20226
24	512	19998
25	528	19802
26	542	19539
27	556	19330
28	569	19079
29	583	18877
30	597	18684
31	612	18527
32	626	18349
33	640	18191
34	653	18009
35	667	17884
36	682	17755
37	694	17577
38	706	17401
39	717	17228
40	730	17096
41	742	16946
42	755	16810
43	767	16676
44	779	16543
45	792	16436
46	805	16326
47	817	16222
48	831	16132
49	842	16015
50	854	15901
51	868	15825
52	880	15740
53	893	15660
54	906	15570
55	920	15521
56	934	15458
57	947	15390
58	961	15333
59	975	15289
60	996	15337
61	1009	15269
62	1022	15204
63	1034	15126
64	1045	15034
65	1057	14968
66	1070	14908
67	1084	14860
68	1099	14831
69	1116	14839
70	1133	14833
71	1150	14826
72	1167	14822
73	1184	14818
74	1201	14822
75	1220	14840
76	1239	14860
77	1257	14858
78	1275	14865
79	1291	14848
80	1306	14825
81	1320	14788
82	1334	14747
83	1348	14700
84	1361	14651
85	1373	14602
86	1388	14573
87	1402	14535
88	1417	14506
89	1431	14479
90	1446	14447
91	1457	14389
92	1471	14353
93	1485	14314
94	1498	14276
95	1511	14233
96	1524	14192
97	1538	14157
98	1552	14126
99	1564	14080
100	1577	14044
101	1591	14007
102	1604	13970
103	1616	13926
104	1629	13885
105	1643	13863
106	1657	13834
107	1670	13797
108	1683	13764
109	1697	13734
110	1711	13704
111	1724	13676
112	1737	13639
113	1750	13601
114	1762	13566
115	1774	13525
116	1787	13488
117	1803	13479
118	1817	13456
119	1831	13432
120	1844	13396
121	1855	13354
122	1868	13323
123	1880	13286
124	1894	13258
125	1908	13235
126	1922	13212
127	1935	13188
128	1948	13154
129	1961	13126
130	1976	13108
131	1989	13081
132	2002	13052
133	2015	13026
134	2029	13000
135	2042	12975
136	2055	12947
137	2070	12931
138	2084	12913
139	2097	12883
140	2110	12857
141	2123	12828
142	2135	12799
143	2149	12776
144	2163	12756
145	2178	12739
146	2190	12712
147	2205	12694
148	2219	12674
149	2234	12660
150	2248	12640
151	2261	12619
152	2274	12591
153	2286	12560
154	2299	12537
155	2312	12513
156	2326	12493
157	2342	12483
158	2356	12465
159	2372	12455
160	2388	12445
161	2402	12426
162	2415	12402
163	2428	12380
164	2441	12355
165	2455	12335
166	2468	12315
167	2482	12294
168	2495	12271
169	2508	12248
170	2522	12226
171	2534	12201
172	2547	12179
173	2559	12151
174	2573	12133
175	2586	12110
176	2600	12093
177	2614	12073
178	2627	12051
179	2640	12029
180	2653	12007
181	2667	11988
182	2680	11966
183	2696	11956
184	2710	11939
185	2725	11925
186	2739	11910
187	2752	11886
188	2765	11867
189	2779	11848
190	2794	11834
191	2806	11811
192	2819	11790
193	2832	11766
194	2846	11752
195	2860	11734
196	2873	11714
197	2887	11694
198	2901	11678
199	2914	11658
200	2928	11639
201	2941	11620
202	2955	11602
203	2967	11577
204	2980	11556
205	2994	11540
206	3007	11520
207	3019	11497
208	3032	11478
209	3045	11456
210	3059	11440
211	3072	11419
212	3086	11402
213	3099	11383
214	3114	11369
215	3126	11349
216	3139	11329
217	3155	11317
218	3169	11302
219	3182	11283
220	3195	11264
221	3209	11249
222	3224	11235
223	3237	11214
224	3250	11196
225	3263	11178
226	3276	11158
227	3290	11141
228	3303	11120
229	3316	11102
230	3329	11084
231	3342	11064
232	3355	11046
233	3368	11026
234	3381	11007
235	3394	10989
236	3407	10971
237	3421	10953
238	3434	10934
239	3447	10917
240	3460	10897
241	3473	10878
242	3485	10858
243	3498	10839
244	3512	10825
245	3525	10805
246	3539	10791
247	3553	10776
248	3566	10755
249	3578	10735
250	3591	10717
251	3605	10702
252	3618	10683
253	3631	10664
254	3644	10648
255	3658	10632
256	3671	10614
257	3685	10599
258	3699	10583
259	3712	10566
260	3726	10550
261	3740	10535
262	3754	10520
263	3768	10506
264	3782	10491
265	3796	10475
266	3809	10458
267	3823	10444
268	3838	10431
269	3851	10413
270	3865	10397
271	3880	10386
272	3893	10368
273	3907	10353
274	3920	10337
275	3934	10321
276	3949	10307
277	3961	10287
278	3974	10270
279	3987	10254
280	4001	10237
281	4014	10221
282	4027	10204
283	4041	10188
284	4054	10171
285	4068	10156
286	4081	10139
287	4094	10122
288	4107	10104
289	4119	10086
290	4133	10070
291	4147	10055
292	4160	10040
293	4175	10026
294	4189	10011
295	4202	9996
296	4216	9979
297	4231	9967
298	4244	9951
299	4258	9935
300	4271	9920
301	4285	9905
302	4299	9891
303	4312	9872
304	4324	9854
305	4339	9842
306	4354	9830
307	4369	9816
308	4381	9798
309	4394	9781
310	4407	9763
311	4419	9745
312	4432	9729
313	4447	9715
314	4460	9698
315	4473	9683
316	4488	9671
317	4501	9653
318	4513	9636
319	4527	9621
320	4540	9605
321	4554	9590
322	4567	9573
323	4580	9556
324	4593	9541
325	4606	9524
326	4619	9507
327	4633	9492
328	4646	9477
329	4659	9459
330	4671	9441
331	4684	9425
332	4699	9412
