iter	Logloss
0	0.6931294369
1	0.6931132621
2	0.6930963438
3	0.6930802473
4	0.6930636677
5	0.6930486292
6	0.6930316268
7	0.693015805
8	0.6930005841
9	0.6929854944
10	0.6929689358
11	0.6929520785
12	0.6929367182
13	0.6929201592
14	0.6929036525
15	0.6928881071
16	0.6928727125
17	0.6928549875
18	0.6928396507
19	0.692824468
20	0.6928085681
21	0.6927916621
22	0.6927748772
23	0.6927606062
24	0.6927448577
25	0.6927276702
26	0.6927116979
27	0.6926963202
28	0.6926815213
29	0.6926645756
30	0.6926516561
31	0.69263592
32	0.6926195266
33	0.6926046938
34	0.6925888004
35	0.692574127
36	0.692557663
37	0.6925427418
38	0.6925279338
39	0.6925096679
40	0.6924915483
41	0.6924767246
42	0.6924610441
43	0.6924436563
44	0.6924266165
45	0.6924110709
46	0.6923982357
47	0.69238086
48	0.6923654604
49	0.6923495154
50	0.6923327637
51	0.6923181499
52	0.6923016976
53	0.6922838156
54	0.692265679
55	0.6922506616
56	0.6922338574
57	0.692219325
58	0.6922045489
59	0.6921891945
60	0.6921731911
61	0.6921556931
62	0.6921403655
63	0.6921261687
64	0.6921099534
65	0.6920932038
66	0.6920762776
67	0.69206215
68	0.6920463192
69	0.6920284391
70	0.6920119151
71	0.6919953136
72	0.6919799008
73	0.6919640052
74	0.691947571
75	0.6919327685
76	0.6919156751
77	0.6918982548
78	0.6918841828
79	0.691869126
80	0.6918520481
81	0.6918364635
82	0.6918191376
83	0.6918022631
84	0.6917845612
85	0.6917697363
86	0.6917535644
87	0.6917384073
88	0.6917225209
89	0.6917060394
90	0.6916909904
91	0.6916754755
92	0.6916576316
93	0.6916429041
94	0.6916278133
95	0.6916133529
96	0.6915973667
97	0.6915798589
98	0.6915632916
99	0.6915475928
100	0.6915322735
101	0.6915217835
102	0.6915069474
103	0.6914898763
104	0.6914744813
105	0.6914575845
106	0.6914415475
107	0.6914255292
108	0.6914086435
109	0.6913935372
110	0.6913763979
111	0.6913615427
112	0.6913458843
113	0.6913304863
114	0.6913140041
115	0.691298597
116	0.6912825383
117	0.6912672043
118	0.6912502992
119	0.6912349236
120	0.6912200982
121	0.6912025991
122	0.6911849972
123	0.691171232
124	0.6911555512
125	0.6911384343
126	0.6911205862
127	0.6911054032
128	0.6910914885
129	0.6910763812
130	0.6910622392
131	0.6910463437
132	0.691031157
133	0.6910133859
134	0.6909990306
135	0.6909829698
136	0.6909673411
137	0.690953997
138	0.6909376007
139	0.6909236365
140	0.6909085965
141	0.6908922276
142	0.6908748036
143	0.6908592909
144	0.6908425112
145	0.6908264263
146	0.6908100614
147	0.6907955867
148	0.6907811747
149	0.6907658328
150	0.6907499676
151	0.6907341509
152	0.6907173784
153	0.6907003032
154	0.6906845918
155	0.6906694311
156	0.6906518625
157	0.6906380554
158	0.6906224422
159	0.690608385
160	0.6905930158
161	0.6905770618
162	0.690559075
163	0.6905428578
164	0.690530954
165	0.6905145576
166	0.6904965353
167	0.6904804732
168	0.6904644008
169	0.6904485806
170	0.6904344637
171	0.6904180767
172	0.6904021382
173	0.6903860073
174	0.6903696106
175	0.6903536503
176	0.6903387029
177	0.6903226771
178	0.6903081056
179	0.6902908434
180	0.6902762801
181	0.6902605303
182	0.6902434762
183	0.6902270376
184	0.6902118637
185	0.6901937423
186	0.6901797508
187	0.6901635877
188	0.690146449
189	0.6901290985
190	0.6901132822
191	0.6900980509
192	0.6900832881
193	0.6900675615
194	0.6900504887
195	0.6900340984
196	0.6900195881
197	0.6900023832
198	0.6899867879
199	0.6899706802
200	0.6899552149
201	0.6899387601
202	0.6899238083
