iter	Passed	Remaining
0	9	4882
1	18	4782
2	23	4061
3	33	4309
4	39	3966
5	49	4192
6	59	4316
7	69	4373
8	80	4489
9	90	4558
10	101	4603
11	110	4615
12	120	4638
13	130	4647
14	140	4655
15	150	4670
16	160	4673
17	165	4544
18	175	4549
19	184	4548
20	194	4545
21	204	4543
22	213	4529
23	221	4510
24	231	4517
25	242	4527
26	252	4534
27	258	4470
28	260	4346
29	270	4353
30	272	4232
31	282	4240
32	292	4251
33	302	4251
34	312	4256
35	322	4260
36	332	4262
37	341	4260
38	351	4263
39	361	4266
40	371	4268
41	381	4270
42	391	4270
43	401	4273
44	412	4276
45	422	4283
46	425	4205
47	434	4204
48	445	4205
49	455	4205
50	465	4204
51	475	4202
52	480	4160
53	489	4150
54	499	4153
55	509	4146
56	518	4140
57	527	4129
58	536	4122
59	546	4115
60	555	4108
61	564	4096
62	573	4089
63	582	4080
64	592	4073
65	601	4067
66	610	4056
67	620	4048
68	629	4039
69	638	4029
70	647	4018
71	656	4011
72	665	4002
73	674	3992
74	683	3981
75	691	3968
76	700	3959
77	709	3950
78	718	3940
79	723	3908
80	733	3901
81	742	3895
82	746	3858
83	755	3849
84	764	3840
85	775	3839
86	785	3835
87	794	3826
88	803	3819
89	813	3812
90	822	3803
91	831	3797
92	841	3792
93	851	3784
94	860	3776
95	869	3767
96	878	3758
97	887	3751
98	896	3741
99	906	3733
100	915	3725
101	918	3692
102	927	3682
103	936	3674
104	939	3641
105	948	3634
106	957	3625
107	966	3617
108	976	3608
109	985	3599
110	994	3593
111	1004	3587
112	1013	3579
113	1022	3570
114	1032	3563
115	1041	3555
116	1050	3546
117	1056	3527
118	1060	3503
119	1070	3496
120	1079	3486
121	1088	3478
122	1096	3469
123	1105	3460
124	1114	3450
125	1123	3441
126	1132	3432
127	1136	3410
128	1144	3399
129	1154	3391
130	1163	3383
131	1171	3372
132	1179	3362
133	1188	3351
134	1192	3330
135	1201	3321
136	1209	3310
137	1218	3301
138	1227	3292
139	1235	3283
140	1239	3262
141	1248	3252
142	1257	3243
143	1265	3233
144	1273	3224
145	1282	3215
146	1287	3195
147	1295	3187
148	1304	3178
149	1313	3170
150	1322	3161
151	1331	3153
152	1340	3145
153	1348	3135
154	1356	3125
155	1361	3107
156	1369	3096
157	1377	3087
158	1386	3079
159	1395	3071
160	1404	3061
161	1413	3053
162	1422	3044
163	1430	3036
164	1432	3013
165	1441	3005
166	1450	2995
167	1459	2989
168	1468	2980
169	1476	2971
170	1486	2963
171	1495	2956
172	1503	2946
173	1508	2929
174	1516	2919
175	1524	2910
176	1533	2901
177	1541	2891
178	1549	2883
179	1558	2873
180	1566	2864
181	1574	2855
182	1583	2846
183	1586	2827
184	1590	2811
185	1594	2795
186	1603	2787
187	1612	2778
188	1620	2769
189	1628	2760
190	1637	2752
191	1646	2743
192	1654	2734
193	1662	2725
194	1671	2716
195	1679	2707
196	1683	2692
197	1692	2683
198	1700	2674
199	1709	2666
200	1717	2657
201	1726	2649
202	1735	2641
203	1743	2632
204	1751	2623
205	1759	2614
206	1768	2605
207	1776	2596
208	1784	2587
209	1793	2579
210	1796	2562
211	1804	2553
212	1809	2539
213	1817	2531
214	1826	2522
215	1835	2514
216	1844	2507
217	1852	2498
218	1860	2489
219	1865	2475
220	1873	2466
221	1881	2458
222	1889	2449
223	1898	2440
224	1906	2431
225	1914	2422
226	1922	2414
227	1931	2405
228	1935	2391
229	1943	2383
230	1953	2376
231	1963	2369
232	1967	2356
233	1976	2348
234	1986	2341
235	1994	2332
236	2002	2323
237	2012	2316
238	2022	2310
239	2032	2303
240	2042	2296
241	2050	2287
242	2059	2279
243	2068	2271
244	2076	2263
245	2085	2254
246	2093	2246
247	2102	2237
248	2111	2229
249	2120	2221
250	2124	2209
251	2133	2201
252	2144	2195
253	2154	2188
254	2163	2180
255	2172	2172
256	2181	2164
257	2189	2155
258	2198	2147
259	2206	2138
260	2215	2130
261	2224	2123
262	2232	2114
263	2241	2105
264	2251	2098
265	2259	2089
266	2268	2081
267	2276	2072
268	2285	2064
269	2293	2056
270	2302	2047
271	2311	2039
272	2320	2031
273	2328	2022
274	2337	2014
275	2345	2005
276	2354	1997
277	2362	1988
278	2371	1980
279	2375	1968
280	2379	1956
281	2388	1947
282	2396	1939
283	2405	1931
284	2414	1922
285	2423	1914
286	2432	1906
287	2441	1898
288	2451	1891
289	2457	1881
290	2467	1873
291	2476	1866
292	2485	1857
293	2493	1848
294	2502	1840
295	2510	1831
296	2518	1823
297	2526	1814
298	2534	1805
299	2543	1797
300	2552	1789
301	2560	1780
302	2562	1767
303	2570	1758
304	2578	1750
305	2587	1741
306	2596	1733
307	2599	1721
308	2607	1712
309	2610	1700
310	2618	1692
311	2627	1684
312	2635	1675
313	2640	1664
314	2644	1653
315	2648	1642
316	2658	1635
317	2667	1627
318	2671	1616
319	2680	1608
320	2689	1600
321	2697	1591
322	2706	1583
323	2714	1575
324	2723	1566
325	2731	1558
326	2739	1549
327	2747	1541
328	2757	1533
329	2767	1526
330	2776	1518
331	2786	1511
332	2796	1503
333	2805	1495
334	2815	1487
335	2825	1479
336	2834	1471
337	2844	1464
338	2853	1456
339	2863	1448
340	2866	1437
341	2874	1429
342	2884	1421
343	2888	1410
344	2898	1402
345	2908	1395
346	2918	1387
347	2927	1379
348	2938	1372
349	2949	1365
350	2959	1357
351	2968	1349
352	2977	1341
353	2986	1332
354	2988	1321
355	2992	1311
356	3001	1302
357	3009	1294
358	3019	1286
359	3027	1278
360	3036	1270
361	3045	1261
362	3053	1253
363	3062	1245
364	3070	1236
365	3079	1228
366	3087	1219
367	3096	1211
368	3097	1200
369	3101	1190
370	3110	1182
371	3113	1171
372	3121	1163
373	3129	1154
374	3137	1146
375	3140	1135
376	3148	1127
377	3157	1119
378	3162	1109
379	3170	1101
380	3178	1092
381	3187	1084
382	3195	1076
383	3204	1068
384	3212	1059
385	3216	1050
386	3225	1041
387	3234	1033
388	3243	1025
389	3251	1017
390	3255	1007
391	3264	999
392	3272	990
393	3281	982
394	3289	974
395	3297	966
396	3305	957
397	3314	949
398	3323	941
399	3327	931
400	3336	923
401	3339	913
402	3347	905
403	3351	896
404	3360	887
405	3368	879
406	3377	871
407	3385	862
408	3393	854
409	3398	845
410	3407	837
411	3415	829
412	3424	820
413	3433	812
414	3442	804
415	3451	796
416	3459	788
417	3463	778
418	3472	770
419	3480	762
420	3489	754
421	3498	746
422	3506	737
423	3514	729
424	3517	719
425	3525	711
426	3533	703
427	3536	694
428	3545	685
429	3553	677
430	3562	669
431	3571	661
432	3579	653
433	3588	644
434	3596	636
435	3605	628
436	3614	620
437	3622	612
438	3644	606
439	3653	597
440	3661	589
441	3669	581
442	3678	572
443	3686	564
444	3691	555
445	3699	547
446	3708	539
447	3712	530
448	3721	522
449	3729	513
450	3737	505
451	3746	497
452	3754	489
453	3762	480
454	3771	472
455	3779	464
456	3788	455
457	3792	447
458	3800	438
459	3808	430
460	3817	422
461	3826	414
462	3834	405
463	3843	397
464	3852	389
465	3860	381
466	3869	372
467	3877	364
468	3880	355
469	3888	347
470	3896	339
471	3905	330
472	3913	322
473	3922	314
474	3930	306
475	3938	297
476	3946	289
477	3955	281
478	3963	273
479	3972	264
480	3980	256
481	3984	248
482	3992	239
483	4001	231
484	4004	222
485	4008	214
486	4017	206
487	4026	198
488	4034	189
489	4045	181
490	4054	173
491	4062	165
492	4071	156
493	4075	148
494	4083	140
495	4092	132
496	4100	123
497	4108	115
498	4116	107
499	4125	99
500	4133	90
501	4142	82
502	4150	74
503	4158	66
504	4167	57
505	4176	49
506	4184	41
507	4194	33
508	4202	24
509	4210	16
510	4219	8
511	4228	0
